CRIM,DIS,INDUS,LSTAT,NOX,PRICE,PTRATIO,RAD,RM,TAX,ZN
0.00632,4.09,2.31,4.98,0.538,24.0,15.3,1.0,6.575,296.0,18.0
0.02731,4.9671,7.07,9.14,0.469,21.6,17.8,2.0,6.421,242.0,0.0
0.02729,4.9671,7.07,4.03,0.469,34.7,17.8,2.0,7.185,242.0,0.0
0.03237,6.0622,2.18,2.94,0.458,33.4,18.7,3.0,6.998,222.0,0.0
0.06905,6.0622,2.18,5.33,0.458,36.2,18.7,3.0,7.147,222.0,0.0
0.02985,6.0622,2.18,5.21,0.458,28.7,18.7,3.0,6.43,222.0,0.0
0.08829,5.5605,7.87,12.43,0.524,22.9,15.2,5.0,6.012,311.0,12.5
0.14455,5.9505,7.87,19.15,0.524,27.1,15.2,5.0,6.172,311.0,12.5
0.21124,6.0821,7.87,29.93,0.524,16.5,15.2,5.0,5.631,311.0,12.5
0.17004,6.5921,7.87,17.1,0.524,18.9,15.2,5.0,6.004,311.0,12.5
0.22489,6.3467,7.87,20.45,0.524,15.0,15.2,5.0,6.377,311.0,12.5
0.11747,6.2267,7.87,13.27,0.524,18.9,15.2,5.0,6.009,311.0,12.5
0.09378,5.4509,7.87,15.71,0.524,21.7,15.2,5.0,5.889,311.0,12.5
0.62976,4.7075,8.14,8.26,0.538,20.4,21.0,4.0,5.949,307.0,0.0
0.63796,4.4619,8.14,10.26,0.538,18.2,21.0,4.0,6.096,307.0,0.0
0.62739,4.4986,8.14,8.47,0.538,19.9,21.0,4.0,5.834,307.0,0.0
1.05393,4.4986,8.14,6.58,0.538,23.1,21.0,4.0,5.935,307.0,0.0
0.7842,4.2579,8.14,14.67,0.538,17.5,21.0,4.0,5.99,307.0,0.0
0.80271,3.7965,8.14,11.69,0.538,20.2,21.0,4.0,5.456,307.0,0.0
0.7258,3.7965,8.14,11.28,0.538,18.2,21.0,4.0,5.727,307.0,0.0
1.25179,3.7979,8.14,21.02,0.538,13.6,21.0,4.0,5.57,307.0,0.0
0.85204,4.0123,8.14,13.83,0.538,19.6,21.0,4.0,5.965,307.0,0.0
1.23247,3.9769,8.14,18.72,0.538,15.2,21.0,4.0,6.142,307.0,0.0
0.98843,4.0952,8.14,19.88,0.538,14.5,21.0,4.0,5.813,307.0,0.0
0.75026,4.3996,8.14,16.3,0.538,15.6,21.0,4.0,5.924,307.0,0.0
0.84054,4.4546,8.14,16.51,0.538,13.9,21.0,4.0,5.599,307.0,0.0
0.67191,4.682,8.14,14.81,0.538,16.6,21.0,4.0,5.813,307.0,0.0
0.95577,4.4534,8.14,17.28,0.538,14.8,21.0,4.0,6.047,307.0,0.0
0.77299,4.4547,8.14,12.8,0.538,18.4,21.0,4.0,6.495,307.0,0.0
1.00245,4.239,8.14,11.98,0.538,21.0,21.0,4.0,6.674,307.0,0.0
1.13081,4.233,8.14,22.6,0.538,12.7,21.0,4.0,5.713,307.0,0.0
1.35472,4.175,8.14,13.04,0.538,14.5,21.0,4.0,6.072,307.0,0.0
1.38799,3.99,8.14,27.71,0.538,13.2,21.0,4.0,5.95,307.0,0.0
1.15172,3.7872,8.14,18.35,0.538,13.1,21.0,4.0,5.701,307.0,0.0
1.61282,3.7598,8.14,20.34,0.538,13.5,21.0,4.0,6.096,307.0,0.0
0.06417,3.3603,5.96,9.68,0.499,18.9,19.2,5.0,5.933,279.0,0.0
0.09744,3.3779,5.96,11.41,0.499,20.0,19.2,5.0,5.841,279.0,0.0
0.08014,3.9342,5.96,8.77,0.499,21.0,19.2,5.0,5.85,279.0,0.0
0.17505,3.8473,5.96,10.13,0.499,24.7,19.2,5.0,5.966,279.0,0.0
0.12744,5.7209,6.91,4.84,0.448,26.6,17.9,3.0,6.77,233.0,0.0
0.1415,5.7209,6.91,5.81,0.448,25.3,17.9,3.0,6.169,233.0,0.0
0.15936,5.7209,6.91,7.44,0.448,24.7,17.9,3.0,6.211,233.0,0.0
0.12269,5.7209,6.91,9.55,0.448,21.2,17.9,3.0,6.069,233.0,0.0
0.17142,5.1004,6.91,10.21,0.448,19.3,17.9,3.0,5.682,233.0,0.0
0.18836,5.1004,6.91,14.15,0.448,20.0,17.9,3.0,5.786,233.0,0.0
0.22927,5.6894,6.91,18.8,0.448,16.6,17.9,3.0,6.03,233.0,0.0
0.25387,5.87,6.91,30.81,0.448,14.4,17.9,3.0,5.399,233.0,0.0
0.21977,6.0877,6.91,16.2,0.448,19.4,17.9,3.0,5.602,233.0,0.0
0.08873,6.8147,5.64,13.45,0.439,19.7,16.8,4.0,5.963,243.0,21.0
0.04337,6.8147,5.64,9.43,0.439,20.5,16.8,4.0,6.115,243.0,21.0
0.0536,6.8147,5.64,5.28,0.439,25.0,16.8,4.0,6.511,243.0,21.0
0.04981,6.8147,5.64,8.43,0.439,23.4,16.8,4.0,5.998,243.0,21.0
0.15445,7.8148,5.13,6.86,0.453,23.3,19.7,8.0,6.145,284.0,25.0
0.10328,6.932,5.13,9.22,0.453,19.6,19.7,8.0,5.927,284.0,25.0
0.14932,7.2254,5.13,13.15,0.453,18.7,19.7,8.0,5.741,284.0,25.0
0.17171,6.8185,5.13,14.44,0.453,16.0,19.7,8.0,5.966,284.0,25.0
0.11027,7.2255,5.13,6.73,0.453,22.2,19.7,8.0,6.456,284.0,25.0
0.1265,7.9809,5.13,9.5,0.453,25.0,19.7,8.0,6.762,284.0,25.0
0.01951,9.2229,1.38,8.05,0.4161,33.0,18.6,3.0,7.104,216.0,17.5
0.05789,6.498,6.07,8.1,0.409,22.0,18.9,4.0,5.878,345.0,12.5
0.13554,6.498,6.07,13.09,0.409,17.4,18.9,4.0,5.594,345.0,12.5
0.12816,6.498,6.07,8.79,0.409,20.9,18.9,4.0,5.885,345.0,12.5
0.08826,5.2873,10.81,6.72,0.413,24.2,19.2,4.0,6.417,305.0,0.0
0.15876,5.2873,10.81,9.88,0.413,21.7,19.2,4.0,5.961,305.0,0.0
0.09164,5.2873,10.81,5.52,0.413,22.8,19.2,4.0,6.065,305.0,0.0
0.19539,5.2873,10.81,7.54,0.413,23.4,19.2,4.0,6.245,305.0,0.0
0.07896,4.2515,12.83,6.78,0.437,24.1,18.7,5.0,6.273,398.0,0.0
0.09512,4.5026,12.83,8.94,0.437,21.4,18.7,5.0,6.286,398.0,0.0
0.10153,4.0522,12.83,11.97,0.437,20.0,18.7,5.0,6.279,398.0,0.0
0.08707,4.0905,12.83,10.27,0.437,20.8,18.7,5.0,6.14,398.0,0.0
0.05646,5.0141,12.83,12.34,0.437,21.2,18.7,5.0,6.232,398.0,0.0
0.08387,4.5026,12.83,9.1,0.437,20.3,18.7,5.0,5.874,398.0,0.0
0.04113,5.4007,4.86,5.29,0.426,28.0,19.0,4.0,6.727,281.0,25.0
0.04462,5.4007,4.86,7.22,0.426,23.9,19.0,4.0,6.619,281.0,25.0
0.03659,5.4007,4.86,6.72,0.426,24.8,19.0,4.0,6.302,281.0,25.0
0.03551,5.4007,4.86,7.51,0.426,22.9,19.0,4.0,6.167,281.0,25.0
0.05059,4.7794,4.49,9.62,0.449,23.9,18.5,3.0,6.389,247.0,0.0
0.05735,4.4377,4.49,6.53,0.449,26.6,18.5,3.0,6.63,247.0,0.0
0.05188,4.4272,4.49,12.86,0.449,22.5,18.5,3.0,6.015,247.0,0.0
0.07151,3.7476,4.49,8.44,0.449,22.2,18.5,3.0,6.121,247.0,0.0
0.0566,3.4217,3.41,5.5,0.489,23.6,17.8,2.0,7.007,270.0,0.0
0.05302,3.4145,3.41,5.7,0.489,28.7,17.8,2.0,7.079,270.0,0.0
0.04684,3.0923,3.41,8.81,0.489,22.6,17.8,2.0,6.417,270.0,0.0
0.03932,3.0921,3.41,8.2,0.489,22.0,17.8,2.0,6.405,270.0,0.0
0.04203,3.6659,15.04,8.16,0.464,22.9,18.2,4.0,6.442,270.0,28.0
0.02875,3.6659,15.04,6.21,0.464,25.0,18.2,4.0,6.211,270.0,28.0
0.04294,3.615,15.04,10.59,0.464,20.6,18.2,4.0,6.249,270.0,28.0
0.12204,3.4952,2.89,6.65,0.445,28.4,18.0,2.0,6.625,276.0,0.0
0.11504,3.4952,2.89,11.34,0.445,21.4,18.0,2.0,6.163,276.0,0.0
0.11432,2.8561,8.56,7.67,0.52,26.5,18.0,2.0,7.416,276.0,0.0
0.22876,2.7147,8.56,10.63,0.52,18.6,20.9,5.0,6.727,276.0,0.0
0.21161,2.7147,8.56,13.44,0.52,19.3,20.9,5.0,6.781,276.0,0.0
0.1396,2.421,8.56,12.33,0.52,20.1,20.9,5.0,6.405,384.0,0.0
0.13262,2.1069,8.56,16.47,0.52,19.5,20.9,5.0,6.137,384.0,0.0
0.1712,2.211,8.56,18.66,0.52,19.5,20.9,5.0,6.167,384.0,0.0
0.13117,2.1224,8.56,14.09,0.52,20.4,20.9,5.0,5.851,384.0,0.0
0.12802,2.4329,8.56,12.27,0.52,19.8,20.9,5.0,5.836,384.0,0.0
0.26363,2.5451,8.56,15.55,0.52,19.4,20.9,5.0,6.127,384.0,0.0
0.10793,2.7778,8.56,13.0,0.52,21.7,20.9,5.0,6.474,384.0,0.0
0.10084,2.6775,10.01,10.16,0.547,22.8,20.9,5.0,6.229,384.0,0.0
0.12329,2.3534,10.01,16.21,0.547,18.8,20.9,5.0,6.195,384.0,0.0
0.22212,2.548,10.01,17.09,0.547,18.7,17.8,6.0,6.715,384.0,0.0
0.14231,2.2565,10.01,10.45,0.547,18.5,17.8,6.0,5.913,384.0,0.0
0.17134,2.4631,10.01,15.76,0.547,18.3,17.8,6.0,6.092,432.0,0.0
0.13158,2.7301,10.01,12.04,0.547,21.2,17.8,6.0,6.254,432.0,0.0
0.15098,2.7474,10.01,10.3,0.547,19.2,17.8,6.0,5.928,432.0,0.0
0.13058,2.4775,10.01,15.37,0.547,20.4,17.8,6.0,6.176,432.0,0.0
0.14476,2.7592,10.01,13.61,0.547,19.3,17.8,6.0,6.021,432.0,0.0
0.06899,2.2577,25.65,14.37,0.581,22.0,17.8,6.0,5.872,432.0,0.0
0.07165,2.1974,25.65,14.27,0.581,20.3,17.8,6.0,5.731,432.0,0.0
0.09299,2.0869,25.65,17.93,0.581,20.5,19.1,2.0,5.87,432.0,0.0
0.15038,1.9444,25.65,25.41,0.581,17.3,19.1,2.0,6.004,432.0,0.0
0.09849,2.0063,25.65,17.58,0.581,18.8,19.1,2.0,5.961,188.0,0.0
0.16902,1.9929,25.65,14.81,0.581,21.4,19.1,2.0,5.856,188.0,0.0
0.38735,1.7572,25.65,27.26,0.581,15.7,19.1,2.0,5.879,188.0,0.0
0.25915,1.7883,21.89,17.19,0.624,16.2,19.1,2.0,5.986,188.0,0.0
0.32543,1.8125,21.89,15.39,0.624,18.0,19.1,2.0,5.613,188.0,0.0
0.88125,1.9799,21.89,18.34,0.624,14.3,21.2,4.0,5.693,188.0,0.0
0.34006,2.1185,21.89,12.6,0.624,19.2,21.2,4.0,6.431,188.0,0.0
1.19294,2.271,21.89,12.26,0.624,19.6,21.2,4.0,5.637,437.0,0.0
0.59005,2.3274,21.89,11.12,0.624,23.0,21.2,4.0,6.458,437.0,0.0
0.32982,2.4699,21.89,15.03,0.624,18.4,21.2,4.0,6.326,437.0,0.0
0.97617,2.346,21.89,17.31,0.624,15.6,21.2,4.0,6.372,437.0,0.0
0.55778,2.1107,21.89,16.96,0.624,18.1,21.2,4.0,5.822,437.0,0.0
0.32264,1.9669,21.89,16.9,0.624,17.4,21.2,4.0,5.757,437.0,0.0
0.35233,1.8498,21.89,14.59,0.624,17.1,21.2,4.0,6.335,437.0,0.0
0.2498,1.6686,21.89,21.32,0.624,13.3,21.2,4.0,5.942,437.0,0.0
0.54452,1.6687,21.89,18.46,0.624,17.8,21.2,4.0,6.454,437.0,0.0
0.2909,1.6119,21.89,24.16,0.624,14.0,21.2,4.0,5.857,437.0,0.0
3.32105,1.3216,19.58,26.82,0.624,14.4,21.2,4.0,6.151,437.0,0.0
4.0974,1.4118,19.58,26.42,0.871,13.4,21.2,4.0,6.174,437.0,0.0
2.77974,1.3459,19.58,29.29,0.871,15.6,21.2,4.0,5.019,437.0,0.0
2.37934,1.4191,19.58,27.8,0.871,11.8,14.7,5.0,5.403,437.0,0.0
2.15505,1.5166,19.58,16.65,0.871,13.8,14.7,5.0,5.468,437.0,0.0
2.36862,1.4608,19.58,29.53,0.871,15.6,14.7,5.0,4.903,403.0,0.0
2.33099,1.5296,19.58,28.32,0.871,14.6,14.7,5.0,6.13,403.0,0.0
2.73397,1.5257,19.58,21.45,0.871,17.8,14.7,5.0,5.628,403.0,0.0
1.6566,1.618,19.58,14.1,0.871,15.4,14.7,5.0,4.926,403.0,0.0
1.49632,1.5916,19.58,13.28,0.871,21.5,14.7,5.0,5.186,403.0,0.0
1.12658,1.6102,19.58,12.12,0.871,19.6,14.7,5.0,5.597,403.0,0.0
2.14918,1.6232,19.58,15.79,0.871,15.3,14.7,5.0,6.122,403.0,0.0
1.41385,1.7494,19.58,15.12,0.871,19.4,14.7,5.0,5.404,403.0,0.0
3.53501,1.7455,19.58,15.02,0.871,17.0,14.7,5.0,5.012,403.0,0.0
2.44668,1.7364,19.58,16.14,0.871,15.6,14.7,5.0,5.709,403.0,0.0
1.22358,1.8773,19.58,4.59,0.871,13.1,14.7,5.0,6.129,403.0,0.0
1.42502,1.7659,19.58,7.39,0.605,24.3,14.7,5.0,6.152,403.0,0.0
1.27346,1.7984,19.58,5.5,0.871,23.3,14.7,5.0,5.272,403.0,0.0
1.46336,1.9709,19.58,1.73,0.605,27.0,14.7,5.0,6.943,403.0,0.0
2.924,2.2834,19.58,9.81,0.605,22.7,14.7,5.0,6.066,403.0,0.0
2.01019,2.0459,19.58,3.7,0.605,25.0,14.7,5.0,6.51,403.0,0.0
2.3004,2.1,19.58,11.1,0.605,23.8,14.7,5.0,6.25,403.0,0.0
2.44953,2.2625,19.58,11.32,0.605,23.8,14.7,5.0,7.489,403.0,0.0
0.13914,2.5961,4.05,14.69,0.605,19.1,14.7,5.0,5.854,403.0,0.0
0.09178,2.6463,4.05,9.04,0.51,23.1,14.7,5.0,6.101,403.0,0.0
0.06664,3.1323,4.05,5.33,0.51,22.6,14.7,5.0,5.877,403.0,0.0
0.07022,3.5549,4.05,10.11,0.51,29.4,14.7,5.0,6.319,403.0,0.0
0.05425,3.3175,4.05,6.29,0.51,23.2,14.7,5.0,6.402,403.0,0.0
0.06642,2.9153,4.05,6.92,0.51,24.6,14.7,5.0,5.875,403.0,0.0
0.0578,2.829,2.46,5.04,0.51,29.9,14.7,5.0,5.88,403.0,0.0
0.09103,2.7006,2.46,4.82,0.488,36.2,16.6,5.0,5.572,403.0,0.0
0.08308,2.9879,2.46,13.98,0.488,32.5,16.6,5.0,6.416,403.0,0.0
0.06047,3.2797,2.46,13.15,0.488,26.4,16.6,5.0,5.859,403.0,0.0
0.05602,3.1992,2.46,4.45,0.488,29.6,16.6,5.0,6.546,403.0,0.0
0.12579,4.5667,3.44,4.56,0.437,32.0,16.6,5.0,6.02,403.0,0.0
0.0837,4.5667,3.44,5.39,0.437,29.8,16.6,5.0,6.315,296.0,0.0
0.09068,6.4798,3.44,5.1,0.437,34.9,16.6,5.0,6.86,296.0,0.0
0.08664,6.4798,3.44,2.87,0.437,30.5,17.8,3.0,6.98,296.0,0.0
0.01439,6.2196,2.93,4.38,0.401,31.1,17.8,3.0,6.144,296.0,0.0
0.01381,5.6484,0.46,2.97,0.401,29.1,17.8,3.0,7.155,296.0,0.0
0.04666,7.309,1.52,8.61,0.404,33.3,17.8,3.0,6.563,296.0,0.0
0.03768,7.309,1.52,6.62,0.404,30.3,17.8,3.0,5.604,296.0,0.0
0.0315,7.6534,1.47,4.56,0.404,34.6,17.8,3.0,6.153,193.0,0.0
0.03445,6.27,2.03,7.43,0.403,32.9,15.2,5.0,6.782,193.0,0.0
0.02177,6.27,2.03,3.11,0.415,24.1,15.2,5.0,6.556,193.0,0.0
0.22969,4.3549,10.59,10.97,0.489,22.6,15.2,5.0,7.185,193.0,0.0
0.25199,4.3549,10.59,18.06,0.489,24.4,15.2,5.0,6.951,193.0,0.0
0.13587,4.2392,10.59,14.66,0.489,22.5,15.2,5.0,6.739,193.0,0.0
0.43571,3.875,10.59,23.09,0.489,24.4,15.2,5.0,7.178,193.0,0.0
0.17446,3.8771,10.59,17.27,0.489,20.0,15.6,1.0,6.8,193.0,0.0
0.10612,6.3361,4.93,12.4,0.428,22.0,16.4,4.0,6.182,277.0,0.0
0.1029,7.0355,4.93,11.22,0.428,20.1,16.4,5.0,5.888,277.0,0.0
0.12757,7.0355,4.93,5.19,0.428,22.2,17.4,5.0,6.642,277.0,0.0
0.20608,7.9549,5.86,12.5,0.428,23.7,17.4,5.0,5.951,277.0,0.0
0.19133,7.9549,5.86,18.46,0.431,17.6,17.4,5.0,6.373,277.0,0.0
0.33983,8.0555,5.86,9.16,0.431,18.5,17.4,8.0,6.951,277.0,0.0
0.19657,8.0555,5.86,10.15,0.431,24.3,17.4,8.0,6.164,277.0,0.0
0.16439,7.8265,5.86,9.52,0.431,20.5,17.4,8.0,6.879,277.0,0.0
0.19073,7.8265,5.86,6.56,0.431,24.5,17.4,8.0,6.618,277.0,0.0
0.36894,8.9067,5.86,3.54,0.431,29.6,17.4,8.0,7.163,277.0,0.0
0.03548,9.2203,3.64,9.25,0.392,21.9,17.4,8.0,7.686,277.0,0.0
0.01538,6.3361,3.75,3.11,0.392,20.9,17.4,8.0,6.552,276.0,0.0
0.65665,2.0107,3.97,6.9,0.647,36.0,17.4,8.0,5.981,276.0,0.0
0.54011,2.1121,3.97,9.59,0.647,30.1,17.4,8.0,7.412,276.0,0.0
0.76162,1.9865,3.97,10.45,0.647,36.5,17.4,8.0,6.726,276.0,0.0
0.7857,2.1329,3.97,14.79,0.647,22.8,16.6,8.0,6.086,307.0,0.0
0.57834,2.4216,3.97,7.44,0.647,30.7,16.6,8.0,6.631,307.0,0.0
0.29916,4.429,6.96,13.0,0.464,20.7,16.6,8.0,7.358,307.0,0.0
0.16211,4.429,6.96,6.59,0.464,21.1,16.6,6.0,6.481,307.0,0.0
0.1146,3.9175,6.96,7.73,0.464,25.2,16.6,6.0,6.606,307.0,0.0
0.22188,4.3665,6.96,6.58,0.464,24.4,16.6,6.0,6.897,307.0,0.0
0.05644,4.0776,6.41,3.53,0.464,35.2,19.1,6.0,6.095,307.0,0.0
0.09604,4.2673,6.41,2.98,0.447,32.4,19.1,6.0,6.358,307.0,0.0
0.10469,4.7872,6.41,6.05,0.447,32.0,19.1,6.0,6.393,307.0,0.0
0.06127,4.8628,6.41,4.16,0.447,33.2,19.1,7.0,5.593,307.0,0.0
0.07978,4.1403,6.41,7.19,0.447,33.1,19.1,7.0,5.605,307.0,0.0
0.21038,4.1007,3.33,4.85,0.447,29.1,19.1,7.0,6.108,307.0,0.0
0.03578,4.6947,3.33,3.76,0.4429,35.1,19.1,7.0,6.226,307.0,0.0
0.06129,5.2119,3.33,3.01,0.4429,35.4,19.1,7.0,6.433,307.0,0.0
0.01096,7.3073,2.25,8.23,0.4,32.2,19.1,7.0,6.718,307.0,0.0
0.01965,9.0892,1.76,12.93,0.389,22.0,19.1,7.0,6.487,307.0,0.0
0.03871,7.3172,5.32,7.14,0.385,20.1,16.4,7.0,6.438,307.0,0.0
0.0459,7.3172,5.32,7.6,0.405,23.2,16.4,7.0,6.957,307.0,0.0
0.1,5.4917,6.09,4.86,0.433,26.4,18.6,1.0,6.108,300.0,30.0
0.05515,4.022,2.18,6.93,0.433,33.1,18.6,1.0,5.876,300.0,30.0
0.05479,3.37,2.18,8.93,0.472,36.1,18.6,3.0,7.454,300.0,30.0
0.04932,3.1827,2.18,7.53,0.472,33.4,18.6,5.0,7.333,300.0,30.0
0.49298,3.3175,9.9,4.54,0.472,28.2,17.6,5.0,6.842,300.0,30.0
0.3494,3.1025,9.9,9.97,0.544,22.8,17.6,5.0,7.203,300.0,30.0
2.63548,2.5194,9.9,12.64,0.544,20.3,17.6,5.0,7.52,330.0,22.0
0.26169,2.834,9.9,11.72,0.544,22.1,17.6,5.0,7.327,330.0,22.0
0.26938,3.2628,9.9,7.9,0.544,19.4,14.9,5.0,7.206,330.0,22.0
0.3692,3.6023,9.9,9.28,0.544,21.6,14.9,5.0,5.56,330.0,22.0
0.25356,3.945,9.9,11.5,0.544,23.8,14.9,5.0,7.014,330.0,22.0
0.24522,4.0317,9.9,15.94,0.544,17.8,13.6,5.0,7.47,330.0,22.0
0.40202,3.5325,9.9,10.36,0.544,19.8,15.3,3.0,5.92,330.0,22.0
0.47547,4.0019,9.9,12.73,0.544,23.1,15.3,3.0,5.856,330.0,22.0
0.1676,4.5404,7.38,7.2,0.544,21.0,18.2,3.0,6.24,330.0,22.0
0.18159,4.5404,7.38,6.87,0.493,23.8,16.6,3.0,6.538,330.0,22.0
0.19186,5.4159,7.38,5.08,0.493,25.0,19.2,4.0,7.267,264.0,20.0
0.30347,5.4159,7.38,6.15,0.493,24.6,19.2,4.0,6.826,264.0,20.0
0.24103,5.4159,7.38,12.79,0.493,23.0,16.0,4.0,6.482,264.0,20.0
0.06617,5.2146,3.24,9.97,0.493,22.2,16.0,5.0,6.812,264.0,20.0
0.04544,5.8736,3.24,9.09,0.46,22.6,16.0,5.0,6.968,264.0,20.0
0.05023,6.6407,6.06,12.43,0.46,19.8,16.0,5.0,7.645,264.0,20.0
0.05083,6.4584,5.19,5.68,0.4379,19.4,14.8,1.0,7.088,264.0,20.0
0.03738,6.4584,5.19,6.75,0.515,22.2,14.8,1.0,6.453,264.0,20.0
0.03961,5.9853,5.19,8.01,0.515,20.7,16.1,1.0,6.23,264.0,20.0
0.03427,5.2311,5.19,9.8,0.515,21.1,16.1,6.0,6.209,264.0,20.0
0.03041,5.615,5.19,10.56,0.515,19.5,16.1,6.0,6.315,264.0,20.0
0.03306,4.8122,5.19,8.51,0.515,18.5,18.4,6.0,6.565,264.0,20.0
0.05497,4.8122,5.19,9.74,0.515,20.6,18.4,4.0,6.861,223.0,20.0
0.06151,4.8122,5.19,9.29,0.515,19.0,18.4,4.0,7.148,223.0,20.0
0.01301,7.0379,1.52,5.49,0.515,18.7,18.4,4.0,6.63,223.0,20.0
0.02498,6.2669,1.89,8.65,0.442,32.7,18.4,4.0,6.127,223.0,20.0
0.02543,5.7321,3.78,7.18,0.518,16.5,18.4,4.0,6.009,223.0,20.0
0.02899,8.7921,1.25,5.89,0.435,24.5,18.4,5.0,6.871,216.0,20.0
0.06211,8.7921,1.25,5.98,0.429,26.6,18.4,7.0,6.59,216.0,20.0
8.98296,2.1222,1.69,5.49,0.429,22.9,18.4,7.0,6.495,216.0,20.0
3.8497,2.5052,1.69,7.79,0.411,24.1,18.4,7.0,6.982,216.0,20.0
5.66998,1.3325,18.1,14.64,0.77,20.8,16.9,4.0,6.567,289.0,0.0
6.53876,1.3567,18.1,5.29,0.77,16.8,16.9,4.0,5.705,289.0,0.0
8.26725,1.2024,18.1,7.12,0.718,21.9,16.9,4.0,5.914,289.0,0.0
7.99248,1.1691,18.1,14.0,0.718,27.5,16.9,4.0,5.782,289.0,0.0
8.15174,1.1296,18.1,13.33,0.718,21.9,20.2,4.0,6.382,289.0,0.0
