S.no,Tiktoker name,Tiktok name,Folowers,Views (Avg.),Likes (Avg.),Comments (Avg.),Shares (Avg.)
749,ayanakamachi,ä¸­ç”ºç¶¾,1.5M,2.3M,141.2K,931,818
750,melomatheuss_,Matheus Melo,1.7M,984.4K,184.5K,796,2.3K
751,shankcomics1,Shankcomics,948.7K,1M,168K,2.6K,664
752,mattiastanga,Mattia Stanga,2.8M,1.1M,128K,548,3.4K
753,phamvinh99,Pháº¡m Vinh,2.9M,2.1M,154.1K,1K,702
754,alaa_elsaher,ğŸ©Ø§Ù„Ø³Ø§Ø­Ø±ğŸ©,4.3M,1.5M,131.4K,1.1K,1.7K
755,t_400,Ø¬ÙˆÙ‚ÙŠğŸ’š,3.9M,1.4M,190K,1.5K,699
756,jubiandxian,jubiandxian,6M,1.6M,291.3K,773,411
757,nicareinaa,nica,2.3M,1.1M,163.7K,2.6K,556
758,fernandamotafarhat,Fe,6.2M,2M,144.6K,377,1.5K
759,kiet.ac.quy,Kiá»‡t áº®k Wá»·,3.4M,1.1M,183.1K,2K,737
760,stephpappas,Steph Pappas,2M,1.8M,167.9K,1.4K,360
761,soylizbethrz,Lizbeth RodrÃ­guez,9.9M,2.3M,240.3K,567,408
762,jamroz_,jamroz_,1.1M,731.8K,157.8K,1.6K,3.1K
763,eyavanana,Eya,12.9M,2.2M,269.8K,613,314
764,keisyalevronka_,Keisya Levronka,170.6K,2.2M,127.6K,1.7K,227
765,ipanpers,PanPers,557.9K,1.2M,104.4K,282,3.9K
766,abigelic,abigelic,3M,1.8M,403.9K,438,298
767,katclark86,Kat Clark,2.9M,1.8M,279.8K,896,166
768,kyleandjade_,Kyle and Jade,5.1M,1.4M,128.3K,227,2.7K
769,zainah.mb,Zainah & Minnie,1.9M,886.8K,206.8K,987,1.9K
770,ostrichplug,Urban Rescue Ranch,4.1M,908.1K,190.7K,1.4K,1.7K
771,tra.dang.904,â˜˜ï¸TrÃ  Äáº·ngâ˜˜ï¸,18.9M,1.6M,137.4K,1.9K,569
772,narins.beauty_,Narins Beauty,3.2M,7.4M,120.8K,263,327
773,noesmaltrunks,Maltrunks,1.1M,1.6M,295.6K,576,536
774,yesimresmi1,~YEÅÄ°M,17.2M,2.7M,133.2K,759,703
775,joeynero,Joey Nero,5.3M,1.5M,201.8K,1.2K,576
776,nicsnite,NicSuriano,1.4M,1.1M,107.9K,579,3.7K
777,nikkietutorials,nikkietutorials,6.3M,1.7M,225.3K,554,817
778,olivertree,Oliver Tree,12.5M,1.5M,177.7K,816,1.2K
779,juanchimy,Juan Lopez,3.5M,1M,227.1K,1K,1.2K
780,nytiss,nytiss,7.3M,3.7M,165.4K,535,322
781,satyasalsabila,BILA L nya satuğŸ˜¡,2.8M,2.9M,257.2K,393,318
782,vicblends,VicBlends,13.3M,1.8M,218.1K,888,438
783,mei_asami_,æµ…è¦‹ã‚ã„,1.5M,1.3M,167.8K,1.4K,1K
784,marialuciap29,LÃºcia,3.3M,1.4M,270K,805,571
785,mitzakoff,Mitza,2.1M,1.3M,190.2K,626,1.5K
786,aurcelrichlyy,aurcel,588K,851.5K,166K,881,2.8K
787,nairaakamal1,NOURğŸ§ğŸ¼â€â™€ï¸ğŸ¦…,7.4M,1.5M,179K,794,1.1K
788,nickandcarrie,Nick&Carrie,7.4M,1.6M,219.9K,594,875
789,mateuspesce,Mateus pesce,6.9M,1M,105.7K,1.2K,3.7K
790,muiskid,Mois D. Kid,1.1M,2M,210.1K,535,689
791,sabrinacarpenter,Sabrina Carpenter,12.9M,1.3M,160K,1.8K,673
792,briggi_bozzo,Briggi Bozzo,24.3M,2.9M,352K,340,162
793,barisresmiii,barÄ±ÅŸ dada,12.1M,2.8M,110.8K,1.1K,548
794,diegodiego_,Diego Cruz,8.2M,1.4M,209.2K,1.1K,689
795,tam0626,TÃ¢m Nguyá»…n,404.1K,1.8M,100.2K,1.5K,1.4K
796,mr.mandibulas_,Fernando cortez,3.6M,1.7M,203.8K,994,476
797,joshrichards,Josh Richards,25.7M,1.9M,235.1K,690,450
798,mauyricky,Mau y Ricky,5.6M,3.4M,126.8K,295,899
799,matt_rife,Matt Rife,2.4M,971K,121.9K,1.1K,3.2K
800,lasrecetasdesimon,lasrecetasdesimon,5M,1.6M,132.5K,355,2K
801,albertinasacaca1,Albertina Sacaca Cal,6.6M,2.3M,190.6K,919,231
802,artemmodelka,artemmodelka,714.6K,2.1M,147.1K,1.1K,524
803,nicolassturniolo,Nicolas Sturniolo,3.7M,938.2K,198.3K,2.2K,441
804,dobretwins,Lucas and Marcus,36.3M,2.7M,201.4K,581,353
805,fela.austin,Fela Austin,3.2M,2.1M,247.7K,765,193
806,janeydm,à¸£à¸±à¸Šà¸™à¸ à¸ªà¸¸à¸§à¸£à¸£à¸“à¹€à¸à¸•à¸¸,14.6M,2.3M,235.2K,771,144
807,piyanutella,kentang idamanğŸ¥´,4.9M,1.8M,227.4K,1K,182
808,captincroook,Alex Consani,772.1K,711.8K,210.1K,2K,1.3K
809,seungbin030708,ìŠ¹ë¹ˆğŸ¥,5M,1.9M,189.3K,689,670
810,haldarianta04,Chillda,427.2K,2.1M,180.7K,550,769
811,renpc_,âœ¨Ren PCâœ¨,4.9M,977.1K,211.8K,502,1.9K
812,domowilsonmusicc,Domo Wilson,2.4M,1.3M,204.3K,1.2K,700
813,abrunalouise,Bruna Louise,5.2M,1.4M,227K,380,1.2K
814,mikaelatesta,Mikaela Testa,2.2M,1.6M,231K,1K,310
815,arabjenn,Arab Jenn,828.2K,1.6M,88.4K,1.8K,1.6K
816,javierheria,Jajajavi ğŸ‘¨ğŸ»â€ğŸ¦°,2.1M,1.8M,194.4K,356,1.1K
817,doctormiguelpadilla,Doctor Miguel,6.3M,926.4K,157.5K,1.2K,2.1K
818,kikiandkilo,Kiki and Kilo,1.8M,1.1M,128.2K,548,2.8K
819,averycyrus,Avery Cyrus,8M,2.5M,165.2K,745,400
820,miketoks,Miketoks,13.6M,1.8M,217K,650,592
821,evanmarvino69,Evan Marvino,358.4K,3.6M,118.1K,606,492
822,dcfreestyle,Daniel Cutting,1.3M,1.9M,168.6K,834,669
823,1_alkaisr_1,ğŸ”±ğŸŒ¹Ø§Ù„Ù‚ÙŠØµØ±ğŸŒ¹ğŸ”±,12.3M,1.6M,151.8K,577,1.3K
824,fedevigevani,Fede Vigevani,14.9M,1.4M,179.1K,1.7K,195
825,sanzone,Michael Sanzone,3M,1.7M,287.1K,802,148
826,dpiddy,D-Piddy,3M,1.2M,165.4K,821,1.5K
827,linguini,ğŸ‘¨â€ğŸ³ Ù„ÙŠÙ†Ø¬ÙˆÙŠÙ†ÙŠ ğŸ‘¨â€ğŸ³,7.1M,2.6M,172.6K,832,214
828,cemresolmaz,cemre solmaz,10.4M,1.6M,76.9K,2.7K,1.2K
829,matt_mathews,Matt Mathews,2.2M,789.5K,131.7K,2.3K,2.1K
830,_andrewcurtiss,Andrew Curtis,2.8M,728.4K,138.7K,3.1K,1.5K
831,tuckercomedy,Tucker Reynolds,2.4M,820.4K,149.5K,1K,2.7K
832,tonesterpaints,tonesterpaints,2M,1.1M,109.6K,985,2.8K
833,sjbleau,SJ,13.7M,2.4M,213.2K,553,332
834,ustazebitlew,Ebit Lew,4.3M,1.1M,90.5K,2.4K,2.2K
835,kyoshisad,Kyoshi Sad,1.1M,3.6M,84.2K,1.1K,347
836,mahmoudmahe.r,Ù…Ø­Ù…ÙˆØ¯ Ù…Ø§Ù‡Ø±,4.5M,3.1M,138.1K,821,232
837,mas_nizar,IG: nizar_abzhr31,6.5M,1.5M,209.8K,1.1K,344
838,sabashamaa,Saba Shamaa,1.8M,2.2M,164K,760,486
839,medyrenaldy_,Medy Renaldy ğŸ¥”,5.9M,1.9M,179.1K,943,407
840,vinhlion77777,ğŸ’Vinh Lion,5.8M,3.4M,121.7K,931,157
841,seroundselly,SeroundSelly,204K,2M,133.8K,654,1K
842,goldwin.reyes,POKNAT ğŸ‘§ğŸ¼,2.1M,1.9M,214.3K,559,553
843,forrestsautoreviews,Forrest Jones,5.2M,1.1M,165.2K,1.1K,1.4K
844,ibarrechejavier,Javier Ibarreche,8.1M,1.3M,159.8K,1.1K,1.1K
845,adoriandeck,Adorian Deck,3.4M,824.9K,125.6K,1.2K,3.1K
846,homm9k,Ğ¥ĞĞœĞ¯Ğš,45.4M,1.7M,193.4K,975,359
847,psg,psg,30.7M,1.4M,185.2K,962,790
848,zoifishh,zoifishh,6M,1.9M,259.1K,514,399
849,benoit_chevalier,BenoÃ®t Chevalier,10M,1.5M,146.2K,1.2K,774
850,ktlynraps,Ktlyn,2.2M,1.9M,157.8K,1.2K,293
851,jorgitoparrillero,Jorgito Parrillero,1.5M,1.3M,93K,227,3.5K
852,robertirwin,Robert Irwin,4.6M,838.5K,161.8K,1.3K,1.9K
853,zeinab22saad,Zeinab Saad,2.4M,1.3M,221.4K,901,662
854,max_balegde,Max_Balegde,2.7M,1M,179.2K,1.1K,1.3K
855,thefashioncouple,BUCKS&JANINA,3.8M,1.2M,75K,4.7K,159
856,annaxsitar,anna x,12.1M,2.1M,294.5K,426,294
857,pakoyaso_,Pakoyaso,13.5M,1.7M,191.5K,819,514
858,bashtheentertainer,BashTheEntertainer,11.3M,1.7M,142.7K,712,1.1K
859,roblox,Roblox,10.6M,1.3M,69.4K,4.4K,592
860,noble_son,Noble Son,1.8M,1.3M,137.9K,1.5K,1K
861,benjaminthebaker,Benjamin the baker,815.5K,2.5M,286.4K,185,417
862,toguro,TOGURO,3.7M,881.1K,98.1K,1.7K,3.3K
863,luciosincero,Lucio Sincero,3.8M,1.1M,88.7K,849,3.6K
864,matheusyurley,Matheus Yurley,8.6M,2.3M,196.6K,563,382
865,fionntime,FionnTime,2.6M,807.8K,162.4K,1.5K,1.8K
866,tmi_7,ğŸ¿MR.MOVIEğŸ¥,710.1K,1.2M,49.5K,1.1K,6.1K
867,rug,FaZe Rug,9.5M,1.2M,170.4K,1.8K,315
868,moonandrue,Moon & Rue,813.8K,945.5K,201.5K,1.2K,1K
869,melmaia,Mel Maia ğŸ¯,12.3M,2.2M,181.2K,607,483
870,johaanzu,JohaanZu,4.3M,1.6M,204.7K,871,423
871,osaudosista,Ben-Hur,214.2K,1.3M,145K,890,1.4K
872,bernard_joee,BearrnuttğŸ»,512.8K,1M,130.4K,1.3K,1.8K
873,wildnout,wildnout,11.8M,1.8M,309.8K,195,560
874,nazaninkavari,Nazanin Kavari,792.9K,1.7M,312.5K,334,458
875,joshpeck,Josh Peck,7.8M,2.3M,189.2K,483,483
876,ronaldvallez,Ronald Valles,6.2M,2.7M,127.8K,559,657
877,realrobyn,realrobyn,930.6K,800.5K,190.9K,1.6K,1.2K
878,dennysumargoreal,DENNY SUMARGO,3.4M,2.1M,125.9K,1.1K,437
879,drewbarrymore,Drew Barrymore,6.8M,1.5M,180.6K,1.2K,333
880,anabreco,Ana Brenda,3.7M,2M,202.9K,723,329
881,edakok59,EDA KÃ–K,4.5M,3.1M,117.7K,376,764
882,jmartineze_,josi,23.2M,1.6M,186.7K,998,392
883,gevids,GEVids,11.3M,2.3M,153.3K,772,399
884,gabimfmoura,Gabriela Moura,8.7M,1.5M,219.7K,477,772
885,helena.nataliee,Helena Nataliee,564.5K,2.3M,190.3K,192,748
886,thrdfloor,Adam Blythe,4.5M,2.5M,208.5K,542,254
887,mcskrt,mcskrt,115.9K,1.3M,154.6K,925,1.1K
888,tonylopez,Tony Lopez,23.2M,1.8M,210K,693,386
889,iamhear_official,Anthony Caputo,1.1M,925.1K,95.4K,774,3.8K
890,agc.andy,andy,3.5M,865.4K,222.7K,887,1.2K
891,westbrouck,Mattie,10.1M,1.3M,270.6K,850,306
892,bilal.hd91,Bilal Haddad | Ø¨Ù„Ø§Ù„ Ø§Ù„Ø­Ø¯Ù‘Ø§Ø¯,2.9M,1.1M,141.8K,1.8K,778
893,tonystatovci,TONY STATOVCI,2.8M,848.5K,196.6K,817,1.6K
894,real_animasinopal,Animasinopal,1.9M,1.5M,239.4K,554,577
895,erikaxpriscilla,Erika Priscilla,1.2M,780.5K,170.6K,1K,2K
896,armandosaucedo_,Armando Saucedo,2.9M,944.4K,111.2K,1.7K,2.2K
897,jocoquemx,Jocoque,1.4M,1.6M,198.2K,618,703
898,femadu,femadu,5.1M,829.6K,144.7K,2K,1.4K
899,destroyerofweenie,reagan ğŸª²,309.5K,1.1M,282.9K,866,434
900,keirariff,Keira,5.1M,1.2M,240.6K,597,804
901,leaigounet,leaigounet,520K,1M,110.6K,785,2.9K
902,gavrilinaa,Ğ®Ğ»Ğ¸Ñ Ğ“Ğ°Ğ²Ñ€Ğ¸Ğ»Ğ¸Ğ½Ğ° ğŸ¤,17.4M,1.1M,125.6K,1.3K,1.6K
903,therealhammytv,TheRealHammyTV,15.6M,1.6M,100.4K,386,2.1K
904,linglinglieanti,Ling Ling Lieanti,2M,2.5M,165.6K,690,284
905,diepizzlis,DiePizzlis,925.7K,1.7M,82.5K,1.1K,1.8K
906,eldavidgodoy,David Godoy,2.6M,1.7M,140.6K,492,1.2K
907,ajgreene15,AJğŸ“º,3.5M,1.3M,320K,504,462
908,dominguezbrii,brisa :),2.2M,1.1M,216K,1.2K,509
909,sparklinghosewater,simon mayer,651K,990.2K,236K,336,1.4K
910,imjustinschmidt,Justin Schmidt,5.3M,2.5M,268.6K,477,131
911,iben_ma,Iben M.A.,9M,2M,121.2K,1.5K,131
912,chelseafc,Chelsea FC,11.4M,1.5M,206.6K,814,473
913,izoz.10,Ø¹Ø²ÙˆØ² ÙˆØ§Ùˆ ğŸ˜‚ğŸ™†â€â™‚ï¸,1.5M,1.9M,103.3K,1.5K,513
914,soggyalien22,Mattie Justine,2.4M,965.8K,215.7K,964,944
915,thegoodliars,The Good Liars,1.9M,778.2K,96.4K,2.1K,3.2K
916,judiitharias,Judith Arias,17M,2.7M,247K,422,171
917,joerauth_,Joe rauth,5.6M,1.3M,234.3K,555,741
918,mistermainer,mistermainer,15.6M,1.3M,176.3K,991,799
919,firstnamechris,Chris Punsalan,750K,1.3M,205.1K,899,580
920,marisolvazquez93,Marisol VÃ¡squez,215.9K,2.2M,54K,391,2.9K
921,nabela,nabela,7.5M,2.1M,190.9K,482,500
922,chikn.nuggit,Chikn Nuggit,4.8M,945K,159.5K,2.1K,467
923,yazidzohri,Yazid Zohri,2.8M,1.2M,55.4K,5.3K,632
924,go_barby.yt,ğ†ğ ğğ€ğ‘ğğ˜ ğ˜ğ“,2.1M,1.5M,191.5K,1.2K,178
925,alvarocasaress,Casares Ãlvaro,648.3K,1.6M,130.4K,670,1.3K
926,anas_fikry,Anas fikry,12.1M,1.4M,94.4K,1.8K,1.2K
927,samseats,Sam Way,9.7M,1.4M,189.7K,703,821
928,thednacouple,TheDnaCouple,2.1M,1.3M,106.5K,303,2.6K
929,juliano,juliano,10.6M,1.5M,205.9K,900,340
930,mdrr05,ğŸ‘»Ù…Ø±ÙˆØ§Ù† Ù±Ù„Ø¨Ø¢ØªÙ†ÙŠğŸ‡©ğŸ‡¿,3.1M,2.4M,80K,1.1K,926
931,saamuel225,KJğŸ‘ğŸ½,833.5K,683.8K,150.1K,1.7K,2.1K
932,artbydemarcusshawn,DemarcusShawn,6.3M,788.9K,111.9K,1.6K,2.7K
933,imkevinhart,Kevin Hart,30M,1.3M,134.7K,1.8K,410
934,alwaystaketwo,alwaystaketwo,3.3M,1.5M,167.5K,893,619
935,moniqueyvonne,Monique Yvonne Jones,1M,905.7K,227.5K,877,963
936,bsmallaofficial,Basmala Alaaeldin,6M,2.1M,164.5K,752,343
937,tuckerbudzyn,tuckerbudzyn,10.5M,875.3K,160.9K,630,2.1K
938,gehu.gl,Gerson Garcia,427.4K,868.7K,55.3K,742,7.1K
939,kurtisconner,kurtis conner,2M,639.8K,176.1K,2.1K,1.3K
940,vasilvana1,Silvana14,13M,2M,206.7K,618,282
941,justinsilvajr,Juss_inTimeHD,3.5M,985K,162.1K,1.1K,1.2K
942,havizadevi,Haviza Devi Anjani,381.7K,2.4M,180.3K,438,416
943,faithsfresh,FAITH,1.6M,2.1M,174.1K,281,729
944,nansartt,nansartt,2M,1.5M,297.2K,633,194
945,taeskyss,fina,683.8K,1.2M,189.9K,630,987
946,louiecastro,Louie,4.7M,752.8K,148K,1.5K,1.8K
947,dudamaryah,dudamaryah,6.2M,1.3M,228.3K,553,686
948,igotstinkyfeet,Isaak Bacha ğŸ˜®â€ğŸ’¨,981.1K,984.9K,174K,1.3K,829
949,poloboy,Marco Borghi,7M,1.1M,194.4K,914,803
950,susymourizz,Susy MourizğŸŒ·,8.9M,1.5M,153.4K,798,797
951,itsmenicksmithy2,Nick Smithyman ğŸ˜,13.1M,1.5M,149.5K,833,803
952,moxie2d,Moxie,75.8K,909.9K,147.8K,1.9K,780
953,holaitana,Aitana,2M,1.7M,94.2K,1.4K,846
954,falsefitt,falsefitt,1.5M,981.5K,168.9K,917,1.3K
955,k0uvr,Kouvr,13.6M,2.3M,343.2K,343,116
956,divabry,âšœï¸DIVABRYâšœï¸,3.8M,1M,194.3K,677,1.2K
957,cheekyboyos,the cheeky boyos,11M,1.6M,174.7K,771,557
958,itsjustnyissa,ItsJustNyissa,7.7M,800.9K,123.7K,1.1K,2.5K
959,chrowmiee,chroma,111.2K,834.2K,139.9K,2K,1.1K
960,wasildaoud,WASILğŸ¦‹,8.3M,3M,118K,871,156
961,itsjaydaddy,JAYDADDY,3.3M,937.8K,185.8K,346,1.7K
962,yefersoncossio,Yef,13.6M,2.8M,194.1K,415,238
963,codenamejesse,CodenameJesse,2.9M,1M,168.9K,1.1K,1K
964,midnightmood_oficial,Midnight Mood,16.4M,872.1K,95.2K,249,4K
965,sammy_dao222,Sammy ÄÃ o,2.9M,1.3M,99.3K,2.3K,390
966,peetmontzingo,Peet Montzingo,11.4M,1.6M,208.9K,728,325
967,realmadrid,Real Madrid C.F.,20.8M,1.4M,182K,744,637
968,mrzeooficial,MR ZEO ğŸ‡©ğŸ‡´,17.7M,635.6K,85.3K,1.2K,5.3K
969,maddiegracejepson,Maddie Grace Jepson,1.1M,871K,114K,1.3K,2.2K
970,yasincengiz38,YasinCengiz,3.1M,1.1M,101.3K,1K,2.1K
971,angryreactions,Oneya Dâ€™Amelio,26.6M,1.1M,144K,2.1K,146
972,iniganta,Ganta,1.1M,949.3K,136.4K,1.8K,892
973,le_vincent_le_vrai,Vincent,1.2M,867.4K,135.5K,712,2.3K
974,danielswall,Daniel Wall,1.6M,943.5K,141.3K,690,1.9K
975,djaysonkaravane,Diego,1.1M,1.4M,171.2K,587,923
976,los_escachaitos,Los_Escachaitos,4.9M,1.3M,91.2K,974,2.1K
977,gaboadevaa,GABO ğŸ‘ï¸,1.7M,2M,171.2K,728,288
978,aymanehamedi,Weld Mimoune,1.2M,1.3M,70.2K,556,3.3K
979,nosoychaparro,Luis Chaparro,7.1M,1.6M,257.1K,559,285
980,yizaroff,YIZARO,5.5M,1.4M,194.6K,1.1K,214
981,jhonata_teixeira,portal jhonata teixeira,1.1M,967.2K,202.9K,1.1K,633
982,edwardkso,Edward So,1M,776.7K,119.4K,695,3K
983,gnb.official,GnB,8.1M,1.2M,192.4K,620,876
984,nav,NAV,147.7K,719.2K,106.6K,1.8K,2.7K
985,clarencehousevenues,Clarence House Venues,327.4K,1.3M,107.8K,638,1.9K
986,mrcaqui,Facundo Izquierdo,6.9M,603.4K,152.2K,943,2.8K
987,umereee,Umer Butt,5.9M,1.7M,177.2K,784,355
988,chanymaflaa,ChanelMafla,1.9M,1.2M,206.2K,819,566
989,jaasuzuran,Jaasuzuran,633.1K,832K,82.6K,1.8K,3.2K
990,charlyokei,Charlyokei,4.5M,1.7M,215.4K,520,440
991,8illy,8illy,2.4M,736.8K,183.1K,1.1K,1.4K
992,panterita1680,Panterita,3.3M,754.4K,70K,940,5.5K
993,spicyycam_,Spice King,19.6M,1.3M,166.9K,1.3K,261
994,shaymitchell,Shay Mitchell,7.3M,1.5M,166.1K,672,684
995,goharsguide,Gohar Khan,2.2M,1.8M,241.6K,460,315
996,latiners,latiners,374.9K,1.1M,54.6K,197,5.6K
997,ufozero2,Ufozero2,729.8K,857K,121.5K,519,2.7K
998,aldomirandar,ğŸ˜‚ Aldo Miranda ğŸ˜‚,8.7M,1.2M,165K,346,1.4K
999,rrqr7tatsumaki,Rivaldi Fataah,1.1M,2.5M,130.7K,932,112
1000,c4tluvr666,Kennedy Walsh,2.7M,1M,216.4K,985,487